HIP     Vmag    RA             DE       Plx     pmRA     pmDE   e_Plx   B-V
9473    7.06    30.468324   7.864488    21.43   121.23  -49.33  0.84    0.510
9487    3.82    30.511669   2.763760    23.45   33.29   -0.42   1.06    0.024
9519    8.18    30.611289   2.815880    21.24   34.96   -8.54   1.28    0.649
9576    6.88    30.756650   3.358281    20.63   220.25  138.03  1.15    0.664
9583    7.70    30.789233   48.620502   21.24   195.20  -45.98  1.90    0.644
9598    3.95    30.859126   72.421240   20.12   -44.00  22.51   0.56    -0.002
9599    11.86   30.867524   9.886864    23.48   170.12  -4.47   3.58    1.376
9607    11.54   30.886683   12.584846   21.70   382.01  -53.82  3.39    1.340
9629    8.69    30.940466   -40.469196  22.16   377.35  41.75   0.98    0.722
9642    7.30    30.979076   -45.413032  20.34   328.03  52.87   1.04    0.694
9659    7.36    31.069481   60.244472   22.16   -24.13  -60.81  0.93    0.555
9685    6.45    31.146008   -54.881629  21.17   75.79   -24.72  0.56    0.386
9709    8.80    31.222648   11.405035   20.35   59.62   60.60   1.05    0.734
9742    8.68    31.329711   0.322907    20.85   1.40    -26.91  1.19    0.684
9764    10.03   31.381960   12.168871   20.89   -15.10  -81.04  1.49    1.000
9769    8.95    31.405060   -24.379350  21.63   412.68  -55.90  1.45    0.795
9774    8.55    31.421853   -24.375901  22.31   420.17  -56.69  1.89    0.885
9902    7.50    31.858408   -59.679384  22.24   93.05   -18.82  0.63    0.544
9920    11.22   31.925780   7.958857    22.44   -10.92  -135.87 2.61    1.271
9989    10.94   32.165945   -0.359656   24.47   442.82  -99.81  2.22    1.248
10117   8.91    32.532800   -31.069442  22.27   240.66  -175.12 1.09    0.880
10175   7.63    32.716716   13.683454   20.41   111.71  -73.24  1.75    0.704
10212   5.64    32.838177   8.570083    23.52   -141.20 -114.26 0.86    0.569
10215   6.00    32.842678   -10.051746  20.00   -27.30  -171.15 0.94    0.418
10258   9.70    32.991939   4.361794    20.55   -146.48 -78.57  1.60    1.040
10278   7.89    33.086270   -46.816222  23.02   -30.60  -67.25  0.84    0.667
10305   5.65    33.197180   -2.393460   21.71   374.41  -73.08  1.67    0.546
10322   7.00    33.232392   57.205023   24.38   267.14  -217.05 0.82    0.651
10332   11.42   33.281209   58.079966   23.29   -11.12  31.89   7.15    
10385   10.87   33.439303   -33.405938  20.25   174.98  -0.45   2.11    1.097
10403   6.05    33.510536   47.484387   24.07   -82.13  -60.10  0.96    0.406
10492   8.07    33.817351   -23.281407  23.06   68.14   14.59   1.09    0.737
10532   9.11    33.923787   -9.013143   21.72   28.32   9.47    1.49    0.880
10535   5.57    33.928477   25.043255   20.77   -88.69  -87.16  0.89    0.520
10540   5.79    33.941399   25.783099   24.93   176.41  -66.38  0.88    0.439
10556   11.15   33.980981   46.457671   21.18   230.67  -150.91 2.22    1.290
10567   7.50    34.006963   -36.471509  20.84   81.20   -118.48 0.88    0.534
10584   6.91    34.065453   -9.821153   21.53   264.04  -38.60  0.89    0.623
10602   3.56    34.127085   -51.512111  21.06   90.75   -21.90  0.61    -0.120
10626   7.61    34.197081   43.773443   21.97   98.65   -183.92 0.96    0.642
10681   7.61    34.357188   65.262131   22.55   -37.35  -12.23  0.88    0.574
10741   10.03   34.558477   -36.336773  23.52   12.54   7.13    1.86    0.990
10778   9.98    34.678044   81.787029   23.06   98.25   -252.37 1.21    0.897
10789   11.75   34.727048   35.218319   22.20   199.28  -34.02  3.17    1.494
10989   9.43    35.407083   -34.837021  23.73   -54.08  -103.45 1.35    0.905
11001   4.08    35.437596   -68.659424  24.10   -50.07  2.38    0.51    0.034
11024   7.90    35.496517   -29.351665  22.23   28.66   -173.25 1.34    0.644
11071   10.67   35.629458   -53.094498  20.65   244.53  126.44  1.46    1.156
11090   5.81    35.709842   41.396535   21.16   -74.20  -97.68  0.74    0.289
11131   6.96    35.810793   -29.869086  24.51   -77.38  -97.45  1.47    0.566
11258   5.36    36.224977   -60.311629  20.40   -71.08  -131.04 0.50    0.395
11273   11.31   36.300264   49.794052   23.52   167.62  -55.35  2.26    1.586
11352   8.00    36.539614   34.469577   23.19   117.10  -50.82  1.21    0.741
11357   9.79    36.561617   -69.480754  21.81   169.56  103.22  1.05    0.955
11359   8.65    36.564190   -23.887639  20.91   -62.21  -194.94 1.13    0.704
11360   6.79    36.567476   6.292674    22.33   86.09   -50.13  1.05    0.399
11433   9.10    36.868438   -27.634693  24.14   -71.45  -211.38 1.18    0.879
11437   10.12   36.871668   30.973674   23.66   79.50   -70.09  2.04    1.205
11477   5.13    37.007042   -33.811052  21.35   18.56   5.52    0.65    0.089
11476   10.13   37.007352   -75.370009  22.11   -137.69 -88.56  1.07    1.065
11486   5.29    37.041626   29.669538   21.01   -14.81  -85.50  0.83    0.311
11507   8.56    37.095529   1.481767    21.80   -13.87  -92.19  1.45    0.697
11569   4.46    37.266617   67.402384   23.04   -27.92  37.06   0.80    0.153
11728   8.03    37.850319   22.087321   23.90   144.90  62.20   1.10    0.666
11815   11.74   38.096250   3.382591    21.71   138.87  19.17   3.94    1.357
11865   9.78    38.272437   -10.351557  22.04   -172.13 -92.65  1.42    0.990
11923   7.77    38.472245   49.506237   21.00   434.78  -80.79  1.06    0.628
11941   7.49    38.514713   12.180947   23.21   181.42  -34.59  0.97    0.666
11954   7.57    38.548152   -33.117213  24.35   274.85  -90.85  0.87    0.534
11983   9.81    38.644692   5.447706    24.80   -292.15 -575.08 1.83    0.906
11989   9.98    38.653526   -42.171719  20.06   -132.45 -187.60 1.38    0.985
12005   11.03   38.683132   -18.788939  23.38   158.87  155.43  2.51    1.268
12067   8.42    38.897663   61.106409   20.28   97.68   -76.85  1.04    0.696
12087   10.51   38.948203   6.604272    20.60   302.21  31.00   2.07    1.075
12142   12.33   39.128737   17.718489   24.16   232.38  -168.76 5.27    0.800
